name,jurisdiction,category,designator,description,additional_description1,additional_description2,url1,url2,url3,url4,lookup jurisdiction,long_id,notes,additional_description3,seo_title,seo_description,seo_keywords
Should we increase property taxes to fund fire and emergency services of Clallam County Fire District No. 2?,Clallam Fire District No. 2,Proposition,1,"<p>The Board of Commissioners of Clallam County Fire District No. 2 adopted Resolution No. 2013-06 concerning funding for fire and emergency services.  If approved, this proposition would remove the current 1% annual increase limitation of RCW 84.55.010 and establish a new regular property tax levy  for maintenance and operations in an amount not to exceed $1.15 per $1,000.00 of assessed valuation to be levied in 2013 for collection in 2014.  The maximum allowable levy in 2013 shall serve as the base for computing subsequent levy limitations as provided by chapter 84.55 RCW.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Clallam Fire District No. 2,cm_firetax,,,,,"Proposition 1,"
Should we increase number of Port Angeles Port Commissioners?,Clallam Port District,Proposition,1,"<p>The Commission of the Port of Port Angeles adopted Resolution No. 13-1062, concerning a proposition to increase the number of Port Commissioners. If approved, this proposition would increase the number of Commissioners of the Port District from three (3) Commissioners to five (5) Commissioners.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Clallam Port District,cm__port_1,,,,,"Proposition 1,"
Should we reduce the term length of Port Angeles Port Commissioners?,Clallam Port District,Proposition,2,"<p>The Commission of the Port of Port Angeles adopted Resolution No. 13-1063 concerning a proposition to reduce the term of office of each Port Commissioner.  If approved, this proposition would reduce the terms of office of Commissioners of the Port from six (6) years to four (4) years.  The Commissioner elected in 2013 would be elected to a four-year term of office. The terms of office of the other Commissioners would not be reduced, but each successor would be elected to a four-year term of office.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Clallam Port District,cm__port_2,,,,,"Proposition 2,"
Should no Bus Rapid Transit project take place in Clark County unless a majority of voters in an advisory vote support it?,Clark County,Advisory Measure,2,Should the Clark County Board of Commissioners approve proposed Resolution 2013-07-19 which opposes every Bus Rapid Transit project in Clark County unless it is first supported by a majority of the voters in a county-wide advisory vote of the people?  ,"The Board of Clark County Commissioners (BOCC) are voting members of various regional transportation boards. The BOCC has proposed a Clark County policy to vote against all Bus Rapid Transit-related transportation projects that do not first receive approval from the citizens via a county-wide election. If you want the Commissioners to adopt this policy, you should vote yes. If you do not want the Commissioners to adopt this policy, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_bus_brt,,,,,"Advisory Measure 2,"
Should the proposed East County Toll-Free Bridge be built?,Clark County,Advisory Measure,3,Should the Clark County Board of Commissioners approve proposed Resolution 2013-07-21 which supports a proposed East County Toll-Free Bridge?,"The Board of Clark County Commissioners (BOCC) are voting members of various regional transportation boards. The BOCC has proposed a Clark County policy to vote in favor of any transportation projects that explore a New TollFree East County Bridge, if it meets the guidelines set out in the Proposed Resolution printed in this pamphlet. If you want the Commissioners to adopt this policy, you should vote yes. If you do not want the Commissioners to adopt this policy, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_ecbrdge,,,,,"Advisory Measure 3,"
Should the use and sale of fireworks be limited in unincorporated areas of Clark County?,Clark County,Advisory Measure,6,"Should Clark County enact a local ordinance, consistent with state law, which would limit the use of fireworks in the unincorporated areas of Clark County to July 4 of every year, and limit the sale of fireworks in the same area to July 2, 3, and 4?","Clark County Code 5.28.040 - .050 allows for the sale of fireworks from June 28 at noon to July 4 at 11 p.m. and the discharge of fireworks between June 28 and July 4. There is a proposed Clark County Resolution to amend the code to limit sale of fireworks to July 1-4, and limit discharge of fireworks to July 4 only. If you want the Commissioners to limit sale and discharge as described, you should vote yes. If you want the law to remain the same, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_firewrk,,,,,"Advisory Measure 6,"
Should a proposed I-5 Toll-Free Bridge Replacement be built?,Clark County,Advisory Measure,4,Should the Clark County Board of Commissioners approve proposed Resolution 2013-07-25 which would create a board policy which supports a proposed I-5 Toll-Free Bridge Replacement?,"The Board of Clark County Commissioners (BOCC) are voting members of various regional transportation boards. The BOCC has proposed a Clark County policy to vote in favor of any transportation projects that would replace the existing I-5 Bridge with a New Toll-Free I-5 Bridge, if it meets the guidelines set out in the Proposed Resolution printed in this pamphlet. If you want the Commissioners to adopt this policy, you should vote yes. If you do not want the Commissioners to adopt this policy, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_i5brdge,,,,,"Advisory Measure 4,"
Should no Light Rail project take place in Clark County unless a majority of voters in an advisory vote support it?,Clark County,Advisory Measure,1,Should the Clark County Board of Commissioners approve proposed Resolution 2013-07-17 which opposes any Light Rail project in Clark County unless it is first supported by a majority of the voters in a county-wide advisory vote of the people?  ,"The Board of Clark County Commissioners (BOCC) are voting members of various regional transportation boards. The BOCC has proposed a Clark County policy to vote against all Light Rail-related transportation projects that do not first receive approval from the citizens via a county-wide election. If you want the Commissioners to adopt this policy, you should vote yes. If you do not want the Commissioners to adopt this policy, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_railmaj,,,,,"Advisory Measure 1,"
Should the proposed East County Toll-Free Bridge be built?,Clark County,Advisory Measure,5,Should the Clark County Board of Commissioners approve the proposed Resolution 2013-07-27 which supports a West County Toll-Free Bridge?,"The Board of Clark County Commissioners (BOCC) are voting members of various regional transportation boards. The BOCC has proposed a Clark County policy to vote in favor of any transportation projects that explore a New TollFree West County Bridge, if it meets the guidelines set out in the Proposed Resolution printed in this pamphlet. If you want the Commissioners to adopt this policy, you should vote yes. If you do not want the Commissioners to adopt this policy, you should vote no. The results of this vote are advisory only.",,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark County,cr_wcbrdge,,,,,"Advisory Measure 5,"
Should the Clark County Fire and Rescue issue bonds to upgrade and purchase equipment and vehicles?,Clark East County Fire and Rescue,Proposition,1,"<p>The Board of Fire Commissioners of East County Fire &amp; Rescue, Clark County, Washington, adopted Resolution No. 171-07162013 concerning a proposition to finance facility upgrades and equipment acquisition.  If approved, this proposition would authorize the District to upgrade and equip existing facilities and acquire firefighting and lifesaving vehicles, including but not limited to two engines and a brush truck; issue no more than $1,275,000 of general obligation bonds maturing within 20 years; and levy annual excess property taxes to repay the bonds, all as provided in Resolution No. 171-17162013.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.clark.wa.us/elections/documents/ClarkCo2013generalWebVersion.pdf,,,,Clark East County Fire and Rescue,cr_fireres,,,,,"Proposition 1,"
Should we authorize a sales and use tax in Covington Transportation Benefit District for the purpose of financing the costs of transportation maintenance and improvements?,Covington Transportation Benefit District,Proposition,1,"The Board of Covington Transportation Benefit District, Covington, Washington, adopted Resolution No. 13-03 concerning a sales and use tax to fund transportation improvements. This proposition would authorize a sales and use tax at a rate of two-tenths of one percent (0.2%) to be collected from all taxable retail sales within the District, in accordance with RCW 82.14.0455, for a period not exceeding ten years, for the purpose of paying for or financing the costs of transportation maintenance and improvement projects identified in Resolution No. 13-03. Should this proposition be approved?   Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47895&eid=1258,,,,Covington Transportation Benefit District,covington1,,,,,"Proposition 1,"
Should we increase property taxes to purchase 5 acres for Cowlitz County Cemetery District No. 3 operation and maintenance?,Cowlitz Cemetery District No. 3,Proposition,1,"<p>The Cowlitz County Cemetery District 3 Board of Commissioners adopted Resolution No. 2013-04 to finance the purchase of an adjacent parcel of land of approximately 5 acres for cemetery operations and maintenance. This proposition would authorize the district to levy excess taxes upon all taxable property within the district in the sum of $92,951.74, requiring collection of approximately $.35/per $1,000.00 of assessed valuation in 2013 for collection in the year 2014.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Cowlitz Cemetery District No. 3,cz_cemetry,,,,,"Proposition 1,"
Should we increase property taxes for maintenance and operation for Douglas County Cemetery District No. 2?,Douglas Cemetery District No. 2,Proposition,,"<p>The Douglas County Cemetery District No. 2 Board of Commissioners adopted Resolution No.2013/001 on August 5, 2013, containing a proposition to finance maintenance and operations.  This proposition would authorize the district to levy excess taxes upon all taxable property within the district in the amount of $40,000, requiring collection of approximately $0.30 per $1,000 of assessed valuation in 2014.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Douglas Cemetery District No. 2,dg_cemetry,,,,,"Proposition ,"
Should we increase property taxes for maintenance and operation for Douglas County Hospital District No. 2?,Douglas Hospital District No. 2,Proposition,,"<p>The Douglas County Hospital District No.2 (medical and ambulance services) Board of Commissioners adopted Resolution No.65 on July 17,2013 containing a proposition to finance maintenance and operation. This proposition would authorize the district to levy excess taxes upon all taxable property within the district in the sum of$65,000.00, requiring collection of approximately $0.40 per thousand of assessed valuation in 2014.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Douglas Hospital District No. 2,dg_hosptal,,,,,"Proposition ,"
Should the East Bellevue Community Municipal Corporation remain in existence until 2018?,East Bellevue Community Municipal Corporation,Proposition,1,"The community council of East Bellevue Community Municipal Corporation has adopted Resolution No. 527 concerning this proposition to continue the community municipal corporation. Pursuant to RCW 35.14.060, this proposition would continue the existence of the community municipal corporation for an additional four years. Should the East Bellevue Community Municipal Corporation remain in existence until the first Monday of January, 2018?  For continuation of the community municipal corporation Against continuation of the community municipal corporation",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47904&eid=1258,,,,East Bellevue Community Municipal Corporation,ebellevue,,,,,"Proposition 1,"
Should we increase the number of members on the East Pierce Fire & Rescue Board of Commissioners?,East Pierce Fire & Rescue,Proposition,1,Shall the Board of Commissioners of East Pierce Fire & Rescue be increased from five members to seven members?   Yes No,,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47902&eid=1258,,,,East Pierce Fire & Rescue,epierceprp,,,,,"Proposition 1,"
Should we authorize a special tax levy for the general maintenance of  Endicott Cemetery District No. 4?,Endicott Cemetery District No. 4,Proposition,1,"Shall the Endicott Cemetery District No. 4 be authorized to impose a special tax levy of $20,000.00 an estimated $0.40 or less per one thousand dollars of assessed valuation to be collected in 2014 for general maintenance?",,,,,,,Endicott Cemetery District No. 4,wt_cemtry2,,,,,"Proposition 1,"
"Should we authorize the Endicott Parks & Recreation District No. 7 to impose a special tax levy for the operating fund, swimming pool, capital outlay and/or cumulative reserve?",Endicott Park District No. 7,Proposition,1,"Shall the Endicott Parks & Recreation District No. 7 be authorized to impose a special tax levy of $40,000.00, an estimated $0.45,or less per $1,000.00 of assessed valuation for the operating fund, swimming pool, capital outlay and/or cumulative reserve to be collected in 2014?",,,,,,,Endicott Park District No. 7,wt_parktx6,,,,,"Proposition 1,"
Should the Entiat School District issue bonds to expand and modernize Paul Rumburg Elementary School?,Entiat School District No. 127,Proposition,1,"<p>The Board of Directors of Entiat School District No. 127 adopted Resolution No. 6-2012/2013 concerning a proposition to modernize and expand Paul Rumburg Elementary School. This proposition would authorize the District to modernize and expand Paul Rumburg Elementary School (including upgrading plumbing, window, insulation, mechanical, electrical and technology systems; constructing additional classrooms and new cafeteria/commons area; reconfiguring existing classrooms, main entrance, traffic pattern, playgrounds and parking; and converting basement into classrooms); issue no more than $5,600,000 of general obligation bonds maturing within 30 years; and levy annual excess property taxes to repay the bonds, all as provided in Resolution No. 6-2012/2013.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Entiat School District No. 127,ch_ent_sch,,,,,"Proposition 1,"
Should we increase property taxes to fund emergency medical services for Franklin County Fire District No. 3?,Franklin Fire District No. 3,Proposition,1,"<p>The proposition will authorize the Board of Commissioners of the District to restore its regular property tax levy to an amount not to exceed $1.50 per $1,000.00 of assessed valuation for collection in 2014 and to authorize setting a limit factor of 5% for each of the five succeeding years to fund emergency medical services. (This shall not be construed to authorize an excess levy and shall be subject to other applicable statutory limits.)</p> <p>Should this be enacted into law?</p>","If enacted, this proposition would increase the fire protection district's levy limit to $1.50 per thousand dollars of assessed valuation from its estimated 2014 levy of $1.18 per thousand dollars of assessed valuation. The increased levy amount would be dedicated to the payment of expenses for maintaining, operating and equipping the fire district so it may continue to provide emergency medical service (ambulance). The authorization to maintain the $1.50 per thousand dollars of assessed valuation would expire in six years.",,https://wei.sos.wa.gov/county/franklin/en/Elections/Documents/Ed%2010%20-%20Franklin_Eng.pdf,,,,Franklin Fire District No. 3,fr_firetx1,,,,,"Proposition 1,"
Should we increase property taxes for operations and facility improvements for Franklin County Fire District No. 4?,Franklin Fire District No. 4,Proposition,1,"<p>The Board of Commissioners of Franklin County Fire Protection District No. 4 adopted Resolution No. 6 asking voters to increase property taxes for operations and facility improvements. This proposition would increase the District's regular property tax levy by $.0.29 per $1,000.00 over the current levy of assessed valuation for collection beginning in 2014 and use the 2014 levy amount to recalculate subsequent levy limits.</p><p>Do you support or oppose this measure?</p>",Franklin County Fire District 4 commissioners have passed Resolution No. 2013-6 to place a levy increase on the November 2013 ballot. Approval of this levy will allow FCFDNo.4 to maintain its current level of fire protection services for the residents of Fire District 4.,,https://wei.sos.wa.gov/county/franklin/en/Elections/Documents/Ed%2010%20-%20Franklin_Eng.pdf,,,,Franklin Fire District No. 4,fr_firetx2,,,,,"Proposition 1,"
Should we authorize Whitman County Cemetery District No. 2 to impose a special excess tax to build a reserve for future capital improvements of cemetery grounds?,Garfield Cemetery District No. 2,Proposition,1,"Shall the Whitman County Cemetery District No. 2- Garfield, WA be authorized to impose a special (excess) tax in the amount of $12,500.00, An estimated $0.20, or less, per one thousand dollars of assessed valuation, to be collected in the year of 2014, to build a reserve for future capital improvements of cemetery grounds?",,,,,,,Garfield Cemetery District No. 2,wt_cemtry3,,,,,"Proposition 1,"
Should we increase property taxes for health care facilities and services for Garfield County Public Hospital District No. 1?,Garfield Hospital District 1,Proposition,1,"<p>The Commission of the Public Hospital District No. 1, Garfield County, adopted Resolution No. 13-03, concerning a proposition to increase its regular property tax levy to provide funding for the District's health care facilities and services. If approved, this proposition would authorize the District to increase its regular property levy rate from the current rate of $0.3165 per $1,000 of assessed value to a rate not to exceed $0.75 per $1,000 of assessed value for collection in 2014. Thereafter, such levy amount will be used for computing legal limits on levies in subsequent years.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Garfield Hospital District 1,ga_hosptal,,,,,"Proposition 1,"
"Should we authorize the Garfield Park and Recreation District No. 2 to collect a property tax levy to finance maintenance, repair and operation of the pool facilities?",Garfield Park District No. 2,Proposition,1,"<p>The Garfield Park and Recreation District No. 2 adopted Resolution No. 2013-03, concerning a proposition to finance maintenance, repair and operation of the pool facilities. This proposition would authorize the Garfield Park and Recreation District No. 2 to collect a property tax levy upon all taxable property within the District in the amount of $70,000 an estimated $1.06 per $1,000 assessed value in the year 2013 for collection in 2014.</p> <p>Do you support or oppose this measure?</p>  ",,,,,,,Garfield Park District No. 2,wt_swimtx2,,,,,"Proposition 1,"
Should we increase the property tax to fund essential health care services for Grant County Public Hospital District No. 4?,Grant County  Hospital District No. 4,Proposition,1,"The Commission of Public Hospital District No. 4, Grant County, adopted Resolution No. 2013-3 concerning a proposition to finance and maintain the availability of essential health care services. If approved, this ballot proposition will fund a portion of the District's maintenance and operating expenses, including replacing its existing diesel boiler heating system and related equipment with a more efficient and reliable system, by levying in 2013 for collection in 2014 a special one-year property tax in the amount of $500,000, resulting in an estimated levy rate, in excess of the District's regular property tax levy, of $1.25 per $1,000 of assessed value.",,,,,,,Grant County Hospital District No. 4,gr_hosptal,,,,,"Proposition 1,"
Should we increase property taxes for emergency medical services for Grant County Fire Protection District No. 13,Grant County Fire District No. 13,Proposition,1,"The Board of Fire Commissioners of Grant County Fire Protection District No. 13 adopted resolution 13-01 concerning a proposition to establish an emergency medical services property tax levy.  This proposition would authorize the board of commissioners to fund emergency medical services for its citizens by imposing a regular property tax levy of $.50 per $1,000.00 of assessed valuation for a period of six consecutive  years to be collected beginning in 2014.",,,,,,,Grant County Fire District No. 13,gr_firetax,,,,,"Proposition 1,"
Should we increase the sales and use tax  to help the Grays Harbor County Transportation Authority?,Grays Harbor County,Proposition,1,"<p>The Board of Directors of the Grays Harbor County Transportation Authority adopted Resolution No. 116 concerning operation, maintenance, and capital needs of the public transportation system for Grays Harbor County.  This proposition would authorize the Authority to impose a sales and use tax equal to one-tenth of one percent (0.1%) for the operation, maintenance and capital needs of the public transportation system for Grays Harbor County, all as provided in Resolution No. 116.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Grays Harbor County,gy_trantax,,,,,"Proposition 1,"
Should we increase the levy to purchase emergency medical care and ambulance services for Grays Harbor County Fire Protection District No. 14?,Grays Harbor Fire District No. 14,Proposition,1,"Shall Grays Harbor County Fire Protection District No. 14 be authorized to levy upon the regular taxable property within the district, in addition to the regular levy, the sum of $94,000.00, or approximately $0.90 per $1,000 assessed valuation, for collection in 2014 for the provision of emergency medical care and ambulance services all as provided in Resolution No. 13-07, adopted by the Board of Commissioners of said district, and the Laws of the State of Washington?",,,,,,,Grays Harbor Fire District No. 14,gy_firetx1,,,,,"Proposition 1,"
"Should we continue the levy for maintenance, operations, and capital facilities for Grays Harbor County Fire Protection District No. 16?",Grays Harbor Fire District No. 16,Proposition,1,"<p>The Board of Commissioners of Grays Harbor County Fire Protection District No. 16 adopted Resolution No. 013-002 concerning a proposition to restore its regular property tax levy for maintenance, operations, and capital facilities to not exceed $1.00 per $1000.00 of assess valuation to be levied in 2013 for collection in 2014.  The maximum allowable levy in 2013 shall serve as the base for computing subsequent levy limitations as provided by chapter 84.55 RCW.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Grays Harbor Fire District No. 16,gy_firetx2,,,,,"Proposition 1,"
Should we increase the Grays Harbor County Fire Protection District No. 16's levy to finance emergency medical care and ambulance services?,Grays Harbor Fire District No. 16,Proposition,1,"Shall Grays Harbor County Fire Protection District No. 16 be authorized to levy upon the regular taxable property within the district, in addition to the regular levy, the sum of $75,000.00, or approximately $1.92 per thousand dollars of assessed valuation, for collection in 2014 for the provision of emergency medical care and ambulance services all as provided in Resolution No. 013-003, adopted by the Board of Commissioners of said district, and the Laws of the State of Washington?",,,,,,,Grays Harbor Fire District No. 16,gy_firetx3,,,,,"Proposition 1,"
Should we allow the Fire Protection District No. 5 to issue bonds to replace ambulances and life-saving equipment?,Grays Harbor Fire District No. 5,Proposition,1,"<p>The Board of Fire Commissioners of Fire Protection District No. 5, Grays Harbor County, Washington, adopted Resolution No. 13-03 concerning a proposition to finance the purchase of equipment.  This proposition would authorize the District to purchase two (2) new ambulances for the purpose of replacing two (2) current ambulances and necessary life -saving equipment, issue no more than $360,000 of general obligation bonds maturing within five (5) years, levy annual excess property taxes to pay and retire such bonds, all as provided in Resolution No. 13-03.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Grays Harbor Fire District No. 5,gy_firetx4,,,,,"Proposition 1,"
Should we increase the levy to purchase emergency medical care and ambulance services for Grays Harbor County Fire Protection District No. 7?,Grays Harbor Fire District No. 7,Proposition,1,"Shall Grays Harbor County Fire Protection District No. 7 be authorized to levy upon the regular taxable property within the district, in addition to the regular levy, the sum of $90,000.00, or approximately $0.63 per thousand dollars of assessed valuation, for collection in 2014 for the provision of emergency medical care and ambulance services all as provided in Resolution No. 013-005, adopted by the Board of Commissioners of said district and the Laws of the State of Washington?",,,,,,,Grays Harbor Fire District No. 7,gy_firetx5,,,,,"Proposition 1,"
Should we allow the Grays Harbor Fire Protection District No. 8  to issue bonds to acquire firefighting and livesaving equipment?,Grays Harbor Fire District No. 8,Proposition,1,"<p>The Board of Fire Commissioners of Fire Protection District No. 8, Grays Harbor County, Washington, adopted Resolution No. 15 concerning a proposition to acquire firefighting and lifesaving equipment.  If approved, this proposition would authorize the District to acquire an aerial ladder truck, an emergency medical vehicle and other equipment; issue no more than $350,000 of general obligation bonds maturing within 10 years; and levy annual excess property taxes to repay the bonds maturing within 10 years; and levy annual excess property taxes to repay the bonds.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Grays Harbor Fire District No. 8,gy_firetx6,,,,,"Proposition 1,"
Should the Houghton Community Municipal Corporation remain in existence until 2018?,Houghton Community Municipal Corporation,Proposition,1,"The community council of Houghton Community Municipal Corporation has adopted Resolution No. 2013-2B concerning this proposition to continue the community municipal corporation. Pursuant to RCW 35.14.060, this proposition would continue the existence of the community municipal corporation for an additional four years. Should the Houghton Community Municipal Corporation remain in existence until the first Monday of January, 2018?   For continuation of the community municipal corporation Against continuation of the community municipal corporation",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47905&eid=1258,,,,Houghton Community Municipal Corporation,houghtonp1,,,,,"Proposition 1,"
Should the Island County property tax be increased for law and justice funding?,Island County,Proposition,,"<p>The Board of Island County Commissioners adopted Resolution C-73-13 concerning voter approval of a regular property tax levy increase. This proposition, as allowed by RCW 84.55.050, would authorize Island County to increase the property tax levy rate by $0.17 or less per $1,000 of assessed valuation for collection starting in 2014. The additional levy amounts would be used to compute levy limitations from 2015 through 2017. After 2017 this levy would expire. The revenue from this levy could only be used to increase law and justice funding above the level in the 2013 budget.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Island County,is_proptax,,,,,"Proposition ,"
Should we would increase the regular property tax levy to be used exclusively to protect Fairchild Air Force Base?,Island County,Proposition,1,"<p>The Board of Spokane County Commissioners adopted Resolution No. 13-0692, concerning a proposition to assist in the protection of Fairchild Air Force Base. This proposition would increase the regular property tax levy up to 6.5 cents per $1,000 of assessed valuation in 2014, automatically terminate within 9 years or less, be used exclusively to protect Fairchild by mitigating current encroachments, paying related costs, resulting in a total authorized regular property tax levy rate of up to $1.40 per $1,000 of assessed valuation for collection in 2014 and adjust the levy thereafter as allowed by chapter 84.55 RCW.</p> <p>Do you support or oppose this measure?</p>",,,http://www.spokanecounty.org/data/commissioners/pdf/Proposition%20No%20%201%20Fact%20Sheet.pdf,,,,Spokane County,sp_afb_tax,,,,,"Proposition 1,"
Should the Whidbey Island Public Hospital District issue bonds to improve health care facilities?,Island Public Hospital District,Proposition,,"<p>The Board of Commissioners of Whidbey Island Public Hospital District adopted Resolution No. 337 concerning a proposition to improve the District's health care facilities. This proposition would authorize the District to expand and improve Whidbey General Hospital, including constructing a new inpatient wing for critical care, obstetrics and medical/surgical patients, and make other improvements; issue up to $50,000,000 of general obligation bonds maturing within twenty-six (26) years to pay for such improvements; and levy annual excess property taxes to pay and retire the bonds, all as provided in Resolution 337.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Island Public Hospital District,is_hosptal,,,,,"Proposition ,"
Should a Jefferson County charter be created?,Jefferson County,Initiative,1,"Jefferson County Auditor pursuant to the State Constitution, and the Auditor has certified that the number of valid signatures on the petition was sufficient to place the proposition on the ballot. Shall a board of freeholders be elected for the purpose of framing a county charter? ",,,,,,,Jefferson County,je_charter,,,,,"Initiative 1,"
Should a Kala Point Park Recreation District be created?,Jefferson County,Proposition,2,"<p>The Jefferson County Board of County Commissioners adopted Resolution No.39-13 concerning a proposition to form the ""Jefferson County Park and Recreation District No. 4 - Kala Point"" to include all land lying within Kala Point, said territory also being described as a portion of Voter Precinct 304, and within unincorporated Jefferson County, Washington.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Jefferson County,je_parks_1,,,,,"Proposition 2,"
Should a Port Ludlow Master Planned Resort Recreation District be created?,Jefferson County,Proposition,3,"<p>The Jefferson County Board of County Commissioners adopted Resolution No.40-13 concerning a proposition to form the ""Jefferson County Park and Recreation District No. 3 - Port Ludlow Master Planned Resort"" to include all land lying within the Port Ludlow Master Planned Resort, said territory also being described as all of Voter Precincts 500 and 501 and a portion of Voter Precinct 503, and within unincorporated Jefferson County, Washington.</p> <p>Do you support or oppose this measure?</p>",,,,,,,Jefferson County,je_parks_2,,,,,"Proposition 3,"
Should we increase the sales tax to expand and improve the Three Rivers Convention Center?,Kennewick Public Facilities District,Proposition,1,<p>The Board of Directors of the Kennewick Public Facilities District adopted Resolution 109-13 concerning the expansion and improvement of the Three Rivers Convention Center. This proposition would authorize a sales and use tax increase of 1/10th of 1% (1 cent per $10.00 purchase) to fund the expansion and improvements of the Three Rivers Convention Center.</p> <p>Do you support or oppose this measure?</p>,"Proposition 1 authorizes an additional one-tenth of one percent sales tax (one cent on a $10.00 purchase) in Kennewick for an expansion and improvements to the Three Rivers Convention Center. The expansion would include a 50,000 sq. ft. exhibit hall, additional parking and necessary public and support space. The Kennewick Public Facilities District engaged in a recent study to discover potential opportunities of expanding the existing facility. The report found that once expanded, the Three Rivers Convention Center would attract new events and attendees, bringing new dollars into our community. Since its inception the Three Rivers Convention Center has acquired numerous conventions and conferences with growing attendance, which has put the convention center at a disadvantage with larger venues, which have the capacity to support larger events. The mission of the convention center is to spur private industry development in surrounding areas and create a multitude of jobs.",,http://www.bentonelections.com/VP/KPFD.html,,,,Kennewick Public Facilities District,be_pub_fac,,,,,"Proposition 1,"
"Should we authorize the Key Peninsula Metropolitan Park District to levy excess taxes in order to maintain current operations, facilities and program?",Key Peninsula Metropolitan Park District,Proposition,1,"<p>The Board of Commissioners of the Key Peninsula Metropolitan Park District adopted Resolution No. 2013-01 concerning a proposition to finance maintenance and operation expenses. If approved, Proposition No. 1 will authorize the District to levy the following excess taxes on all taxable property within the District to be used to maintain current operations, facilities and programs, including parks, playfields, playgrounds, multi-use trails and summer camps:     LevyYear CollectionYear Approximate Levy Rateper $1000 Assessed Value Levy Amount  2013 2014 $0.39 $700,000  all as provided in Resolution No. 2013-01.</p> <p>Do you support or oppose this measure?</p>",,,http://www.co.pierce.wa.us/DocumentCenter/View/25213,,,,Key Peninsula Metropolitan Park District,pi_parktax,,,,,"Proposition 1,"
Should we make changes to the King County Charter?,King County,Charter Amendment,1,"Shall the King County Charter be amended to create an appointed office of county public defender, a department of public defense, and a public defense advisory board, and require the executive to consult with the county public defender on the executive's bargaining with employees of the department of public defense?   Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47906&eid=1258,,,,King County,KingCounty,,,,,"Charter Amendment 1,"
Should we authorize  King County to impose regular property tax levies  to fund the Medic One emergency medical services system?,King County,Proposition,1,"The King County Council passed Ordinance No. 17598 concerning funding for the county-wide Medic One emergency medical services system. This proposition would replace an expiring levy to continue funding of Medic One emergency medical services. It would authorize King County to impose regular property tax levies of $0.335 or less per thousand dollars of assessed valuation for each of six consecutive years, with collection beginning in 2014, as provided in King County Ordinance No. 17598. Should this proposition be:   Approved Rejected ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47907&eid=1258,,,,King County,Kingprop_1,,,,,"Proposition 1,"
 Should we authorize the District to levy excess taxes to adequately finance maintenance and operation costs for King County Fire Protection District No. 27?,King County Fire Protection District No. 27,Proposition,1,"The Board of King County Fire Protection District No. 27 adopted Resolution No. 2013-01 concerning a proposition to adequately finance maintenance and operation costs.  This proposition provides for the support of fire protection and emergency medical services, facilities, maintenance, staffing and operations by authorizing the District to levy excess taxes in the amount of $425,000 per year for three consecutive years beginning in 2013 to be collected in each year following at an approximate levy rate of $0.50 per thousand dollars of assessed valuation (the actual rate will be based on assessed values).  Should this proposition be approved?   Yes No ",,,http://your.kingcounty.gov/elections2/contests/measureinfo.aspx?cid=47897&eid=1258,,,,King County Fire Protection District No. 27,kcfireno27,,,,,"Proposition 1,"
