cluster,topic,url,description,user
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Green Lake / Roosevelt accurately reflects the Principles to Guide MHA Implementation.",green_lake_/_roosevelt--In-general-the-draft-zoning-changes-for-Green-Lake-/-Roosevelt-accurately-reflects-the-Pri,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Green Lake / Roosevelt.,green_lake_/_roosevelt--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Green Lake / Roosevelt.,green_lake_/_roosevelt--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Green Lake / Roosevelt.,green_lake_/_roosevelt--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Green Lake / Roosevelt.,green_lake_/_roosevelt--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Green Lake / Roosevelt while maintaining scale and character of single family areas.,green_lake_/_roosevelt--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Green-Lak,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Green Lake / Roosevelt are appropriate to allow multi-family housing.,green_lake_/_roosevelt--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Green-Lake-/-Roosevelt-are-appropr,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the Green Lake / Roosevelt area taking into account local factors and features.,green_lake_/_roosevelt--The-draft-urban-village-boundary-is-appropriate-for-the-Green-Lake-/-Roosevelt-area-taking-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Green_Lake_Roosevelt.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Greenwood-Phinney Ridge accurately reflects the Principles to Guide MHA Implementation.",greenwood-phinney_ridge--In-general-the-draft-zoning-changes-for-Greenwood-Phinney-Ridge-accurately-reflects-the-Pr,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Greenwood-Phinney Ridge.,greenwood-phinney_ridge--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Greenwood-Phinney Ridge.,greenwood-phinney_ridge--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Greenwood-Phinney Ridge.,greenwood-phinney_ridge--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Greenwood-Phinney Ridge.,greenwood-phinney_ridge--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Greenwood-Phinney Ridge while maintaining scale and character of single family areas.,greenwood-phinney_ridge--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Greenwood,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Greenwood-Phinney Ridge are appropriate to allow multi-family housing.,greenwood-phinney_ridge--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Greenwood-Phinney-Ridge-are-approp,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Greenwood_Phinney_Ridge.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Lake City accurately reflects the Principles to Guide MHA Implementation.",lake_city--In-general-the-draft-zoning-changes-for-Lake-City-accurately-reflects-the-Principles-to-Gu,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Lake City.,lake_city--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Lake City.,lake_city--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Lake City.,lake_city--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Lake City.,lake_city--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Lake City while maintaining scale and character of single family areas.,lake_city--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Lake-City,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Lake City are appropriate to allow multi-family housing.,lake_city--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Lake-City-are-appropriate-to-allow,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Lake_City.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Madison-Miller accurately reflects the Principles to Guide MHA Implementation.",madison-miller--In-general-the-draft-zoning-changes-for-Madison-Miller-accurately-reflects-the-Principles-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Madison-Miller.,madison-miller--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Madison-Miller.,madison-miller--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Madison-Miller.,madison-miller--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Madison-Miller.,madison-miller--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Madison-Miller while maintaining scale and character of single family areas.,madison-miller--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Madison-M,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Madison-Miller are appropriate to allow multi-family housing.,madison-miller--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Madison-Miller-are-appropriate-to-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Madison_Miller.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Morgan Junction accurately reflects the Principles to Guide MHA Implementation.",morgan_junction--In-general-the-draft-zoning-changes-for-Morgan-Junction-accurately-reflects-the-Principles,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Morgan Junction.,morgan_junction--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Morgan Junction.,morgan_junction--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Morgan Junction.,morgan_junction--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Morgan Junction.,morgan_junction--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Morgan Junction while maintaining scale and character of single family areas.,morgan_junction--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Morgan-Ju,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Morgan Junction are appropriate to allow multi-family housing.,morgan_junction--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Morgan-Junction-are-appropriate-to,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Morgan_Junction.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for North Beacon Hill accurately reflects the Principles to Guide MHA Implementation.",north_beacon_hill--In-general-the-draft-zoning-changes-for-North-Beacon-Hill-accurately-reflects-the-Principl,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in North Beacon Hill.,north_beacon_hill--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in North Beacon Hill.,north_beacon_hill--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in North Beacon Hill.,north_beacon_hill--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in North Beacon Hill.,north_beacon_hill--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in North Beacon Hill while maintaining scale and character of single family areas.,north_beacon_hill--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-North-Bea,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in North Beacon Hill are appropriate to allow multi-family housing.,north_beacon_hill--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-North-Beacon-Hill-are-appropriate-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the North Beacon Hill area taking into account local factors and features.,north_beacon_hill--The-draft-urban-village-boundary-is-appropriate-for-the-North-Beacon-Hill-area-taking-into-,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Beacon_Hill.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for North Rainier accurately reflects the Principles to Guide MHA Implementation.",north_rainier--In-general-the-draft-zoning-changes-for-North-Rainier-accurately-reflects-the-Principles-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in North Rainier.,north_rainier--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in North Rainier.,north_rainier--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in North Rainier.,north_rainier--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in North Rainier.,north_rainier--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in North Rainier while maintaining scale and character of single family areas.,north_rainier--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-North-Rai,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in North Rainier are appropriate to allow multi-family housing.,north_rainier--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-North-Rainier-are-appropriate-to-a,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the North Rainier area taking into account local factors and features.,north_rainier--The-draft-urban-village-boundary-is-appropriate-for-the-North-Rainier-area-taking-into-acco,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_North_Rainier.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Northgate accurately reflects the Principles to Guide MHA Implementation.",northgate--In-general-the-draft-zoning-changes-for-Northgate-accurately-reflects-the-Principles-to-Gu,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Northgate.,northgate--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Northgate.,northgate--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Northgate.,northgate--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Northgate.,northgate--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Northgate while maintaining scale and character of single family areas.,northgate--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Northgate,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Northgate are appropriate to allow multi-family housing.,northgate--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Northgate-are-appropriate-to-allow,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Northgate.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Othello accurately reflects the Principles to Guide MHA Implementation.",othello--In-general-the-draft-zoning-changes-for-Othello-accurately-reflects-the-Principles-to-Guid,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Othello.,othello--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Othello.,othello--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Othello.,othello--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Othello.,othello--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Othello while maintaining scale and character of single family areas.,othello--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Othello-w,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,Places where Single Family is changed to Lowrise (LR) in Othello are appropriate to allow multi-family housing.,othello--Places-where-Single-Family-is-changed-to-Lowrise-LR-in-Othello-are-appropriate-to-allow-m,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Urban Village Expansions,The draft urban village boundary is appropriate for the Othello area taking into account local factors and features.,othello--The-draft-urban-village-boundary-is-appropriate-for-the-Othello-area-taking-into-account-lo,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Othello.pdf,jesseca.brand@seattle.gov
Alignment with Mandatory Housing Affordability principles,"In general, the draft zoning changes for Rainier Beach accurately reflects the Principles to Guide MHA Implementation.",rainier_beach--In-general-the-draft-zoning-changes-for-Rainier-Beach-accurately-reflects-the-Principles-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Commercial Areas,The location and placement of the commercial zones is reasonable and appropriate as a way to implement MHA in Rainier Beach.,rainier_beach--The-location-and-placement-of-the-commercial-zones-is-reasonable-and-appropriate-as-a-way-t,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Commercial Areas,The height and scale that would be allowed by the draft zoning for commercial areas is reasonable and appropriate as a way to implement MHA in Rainier Beach.,rainier_beach--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-commercial-areas-is-reas,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The location and placement of the multi-family zones is reasonable and appropriate as a way to implement MHA in Rainier Beach.,rainier_beach--The-location-and-placement-of-the-multi-family-zones-is-reasonable-and-appropriate-as-a-way,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Multi-family Residential Areas,The height and scale that would be allowed by the draft zoning for multi-family areas is reasonable and appropriate as a way to implement MHA in Rainier Beach.,rainier_beach--The-height-and-scale-that-would-be-allowed-by-the-draft-zoning-for-multi-family-areas-is-re,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
Single Family Rezone Areas,The Residential Small Lot (RSL) zone is in appropriate places to implement MHA in Rainier Beach while maintaining scale and character of single family areas.,rainier_beach--The-Residential-Small-Lot-RSL-zone-is-in-appropriate-places-to-implement-MHA-in-Rainier-B,http://www.seattle.gov/Documents/Departments/HALA/Consider it/MHA draft zoning changes/MHA_draft_zoning_changes_Rainier_Beach.pdf,jesseca.brand@seattle.gov
